id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon,new_lat,new_lon,new_province,lon_mclp,lat_mclp,province_mclp
15832.0,Appareil fixe-Vast apparaat,Potiérue,5.0,4000,Liége,Liège,3 eme / Local de soins,Oui-Ja,Non-Nee,,"Potiérue, 4000 Liége, Liège",50.6459748,5.57857,51.198775,4.45843125,Provincie Antwerpen,5.35747,51.12689,Provincie Limburg
15833.0,Appareil fixe-Vast apparaat,Potiérue,5.0,4000,Liége,Liège,6ème étage/ Local de soins,Oui-Ja,Non-Nee,,"Potiérue, 4000 Liége, Liège",50.6459748,5.57857,50.962792500000006,4.0253355,Provincie Oost-Vlaanderen,4.238058,50.738476750000004,Provincie Vlaams-Brabant
15834.0,Appareil fixe-Vast apparaat,Place de l université,16.0,1348,Louvain-la-neuve,Brabant wallon,"3ième étage, sur le palier.
Accès durant les horaires de bureau (jours ouvrables de 9h à 18h).
L ouverture de la porte d entrée du bâtiment via le bouton central sur le panneau de sonnettes.",Oui-Ja,Non-Nee,9h à 18h les jours ouvrables,"Place de l université, 1348 Louvain-la-neuve, Brabant wallon",50.6699575,4.6155173,50.455065,4.472611666666666,Provincie Henegouwen,4.032293,50.697586,Provincie Vlaams-Brabant
9190.0,Appareil fixe-Vast apparaat,Rue prunieau,5.0,6000,Charleroi,Hainaut,REz-de-chaussée,Oui-Ja,Non-Nee,8h-16h,"Rue prunieau, 6000 Charleroi, Hainaut",50.4072671,4.4453997,50.417156,4.525584,Provincie Henegouwen,5.512365,50.674395000000004,Provincie Luik
8085.0,Appareil fixe-Vast apparaat,Karmelietenstraat,57.0,9500,Geraardsbergen,Oost-vlaanderen,Gelijkvloers in gang aan speelplaats,Oui-Ja,Non-Nee,"Maandag, dinsdag, donderdag en vrijdag 08.00 uur tot 16.30 uur  Woensdag 08.00 uur tot 12.00 uur","Karmelietenstraat, 9500 Geraardsbergen, Oost-vlaanderen",50.773429,3.8786274,51.205056,4.005056,Provincie Oost-Vlaanderen,3.98554,51.039911,Provincie Oost-Vlaanderen
15835.0,Appareil fixe-Vast apparaat,Kapelanielaan,12.0,9140,Temse,Oost-vlaanderen,GELIJKVLOERS   INGANG PERSONEEL ,Non-Nee,Oui-Ja,,"Kapelanielaan, 9140 Temse, Oost-vlaanderen",51.1386,4.1817199,50.81091872842857,4.359997656742856,Brussels Hoofdstedelijk Gewest,3.801947666666667,51.034678,Provincie Oost-Vlaanderen
8086.0,Appareil fixe-Vast apparaat,Kleine karmelietenstraat,3.0,9500,Geraardsbergen,Oost-vlaanderen,Gang ingang aan secretariaat,Oui-Ja,Non-Nee,"Maandag, dinsdag, donderdag en vrijdag 08.00 uur tot 16.30 uur Woensdag 08.00 uur tot 12.00 uur","Kleine karmelietenstraat, 9500 Geraardsbergen, Oost-vlaanderen",50.7746627,3.8769585,50.39881,4.8268,Provincie Namen,4.87285,51.27233,Provincie Antwerpen
15836.0,Appareil fixe-Vast apparaat,Kerkdreef,4.0,3210,Linden,Vlaams-brabant,binnen in het gebouw,Oui-Ja,Non-Nee,Enkel tijdens voetbalwedstrijden of trainingen,"Kerkdreef, 3210 Linden, Vlaams-brabant",50.8956347,4.7658661,50.32135,4.665,Provincie Namen,4.476547200000001,50.8815174,Provincie Vlaams-Brabant
15837.0,Appareil fixe-Vast apparaat,Martelarenplaats ,1.0,3210,Linden,Vlaams-brabant,Gebouw-Sporthal,Oui-Ja,Non-Nee,tijdens training en sportwedstrijden,"Martelarenplaats , 3210 Linden, Vlaams-brabant",50.8955223,4.7678936,50.68302,5.67722,Provincie Luik,4.39671,50.29248,Provincie Namen
15838.0,Appareil fixe-Vast apparaat,Kerkplein ,2.0,3212,Pellenberg,Vlaams-brabant,gebouw- Sporthal,Oui-Ja,Non-Nee,tijdens training en sportwedstrijden,"Kerkplein , 3212 Pellenberg, Vlaams-brabant",50.8707684,4.7941388,50.73448500000001,3.2090750000000003,Provincie Henegouwen,3.90501,50.32907,Provincie Henegouwen
15839.0,Appareil fixe-Vast apparaat,Plein,51.0,3212,Pellenberg,Vlaams-brabant,gebouw - Voetbal kantine,Oui-Ja,Non-Nee,tijdens training en voetbalwedstrijden,"Plein, 3212 Pellenberg, Vlaams-brabant",50.886159,4.7944074,50.377275,4.386875,Provincie Henegouwen,3.748383,50.793163,Provincie Oost-Vlaanderen
15840.0,Appareil fixe-Vast apparaat,Kerkplein,2.0,3212,Pellenberg,Vlaams-brabant,gebouw - sporthal,Oui-Ja,Non-Nee,tijdens training en sportwedstijden,"Kerkplein, 3212 Pellenberg, Vlaams-brabant",50.8707684,4.7941388,51.002622,3.630221,Provincie Oost-Vlaanderen,3.764008,51.008514500000004,Provincie Oost-Vlaanderen
15841.0,Appareil fixe-Vast apparaat,Meenselstraat,118.0,3211,Binkom,Vlaams-brabant,gebouw - voetbal kantine,Oui-Ja,Non-Nee,tijdens training en voetbalwedstrijden,"Meenselstraat, 3211 Binkom, Vlaams-brabant",50.8793748,4.8960328,50.9552295,4.73851,Provincie Vlaams-Brabant,4.8840900000000005,50.49307,Provincie Namen
15842.0,Appareil fixe-Vast apparaat,Gellenberg ,14.0,3210,Lubbeek,Vlaams-brabant,gebouw - sporthal,Oui-Ja,Non-Nee,tijdens training en sportwedstrijden,"Gellenberg , 3210 Lubbeek, Vlaams-brabant",50.889716,4.8340729,50.42287,4.46758,Provincie Henegouwen,4.45323,51.113550000000004,Provincie Antwerpen
15843.0,Appareil fixe-Vast apparaat,Staatsbaan,124.0,3210,Lubbeek,Vlaams-brabant,gebouw - dienstencentrum,Oui-Ja,Non-Nee,maandag  tot vrijdag van 9u-17u,"Staatsbaan, 3210 Lubbeek, Vlaams-brabant",50.89606,4.8230498,51.0035235,3.340407,Provincie West-Vlaanderen,3.5753245,51.189518,Provincie Oost-Vlaanderen
15844.0,Appareil fixe-Vast apparaat,Dorpstraat ,18.0,3210,Lubbeek,Vlaams-brabant,gebouw - school,Oui-Ja,Non-Nee,tijdens de schooluren,"Dorpstraat , 3210 Lubbeek, Vlaams-brabant",50.8779496,4.8421253,50.999331,4.760213,Provincie Vlaams-Brabant,5.70274,50.96916,Provincie Limburg
15845.0,Appareil fixe-Vast apparaat,Sint-jorisstraat,4520.0,3800,Sint-truiden,Limburg,"Het toestel is aangebracht in het grote magazijn van de verzending (Warehouse) tegen de
wand van de kantoren op het gelijkvloers.",Non-Nee,Oui-Ja,,"Sint-jorisstraat, 3800 Sint-truiden, Limburg",50.8224389,5.2065691,51.01485,4.643508,Provincie Vlaams-Brabant,5.73166,51.03993,Provincie Limburg
15846.0,Appareil fixe-Vast apparaat,Bollenberg,86.0,3210,Lubbeek,Vlaams-brabant,gebouw - gemeentelijke Loods,Oui-Ja,Non-Nee,"Van maandag tot donderdag van 8u tot 16u30, vrijdag van 8u tot 12u","Bollenberg, 3210 Lubbeek, Vlaams-brabant",50.8785592,4.8235591,50.458335000000005,4.33031,Provincie Henegouwen,4.40041,50.7107,Provincie Waals-Brabant
15847.0,Appareil fixe-Vast apparaat,Schoolstraat,4.0,3211,Binkom,Vlaams-brabant,Gebouw - school,Oui-Ja,Non-Nee,schooluren,"Schoolstraat, 3211 Binkom, Vlaams-brabant",50.8720073,4.8834002,50.893268972375004,4.3253553014125,Brussels Hoofdstedelijk Gewest,2.913329,50.972348,Provincie West-Vlaanderen
15848.0,Appareil fixe-Vast apparaat,Rue du chéne,22.0,1000,Bruxelles,Bruxelles-brussel,,Oui-Ja,Non-Nee,,"Rue du chéne, 1000 Bruxelles, Bruxelles-brussel",50.8444596,4.3505843,50.907157,3.2174683333333336,Provincie West-Vlaanderen,5.22309,51.068740000000005,Provincie Limburg
15849.0,Appareil fixe-Vast apparaat,Rue bara,160.0,1070,Bruxelles,Bruxelles-brussel,,Oui-Ja,Non-Nee,,"Rue bara, 1070 Bruxelles, Bruxelles-brussel",50.8362216,4.3320363,51.123355,5.65245,Provincie Limburg,5.74328,50.94789,Provincie Limburg
15850.0,Appareil fixe-Vast apparaat,Rue des prés de la mercire,18.0,6880,Bertirx,Luxembourg,,Oui-Ja,Non-Nee,,"Rue des prés de la mercire, 6880 Bertirx, Luxembourg",49.8616468,5.280961,50.999808,5.081886,Provincie Vlaams-Brabant,4.42219,51.250098,Provincie Antwerpen
15452.0,Appareil fixe-Vast apparaat,Meistraat ,5.0,2000,Antwerpen,Antwerpen,Gelijkvloers - onthaal campus,Non-Nee,Non-Nee,Elke werkdag tussen 8u en 20u,"Meistraat , 2000 Antwerpen, Antwerpen",51.2155588,4.4105948,51.20039833333333,4.446548333333333,Provincie Antwerpen,5.084178,50.753097,Provincie Vlaams-Brabant
15851.0,Appareil fixe-Vast apparaat,Mutsaardstraat ,31.0,2000,Antwerpen,Antwerpen,Gelijkvloers - onthaal,Non-Nee,Non-Nee,Elke werkdag tussen 8u en 20u,"Mutsaardstraat , 2000 Antwerpen, Antwerpen",51.2238653,4.4056485,50.66328166666667,5.501576666666667,Provincie Luik,4.2212700000000005,51.08907,Provincie Antwerpen
