id,type,address,number,postal_code,municipality,province,location,public,available,hours,full_address,lat,lon,new_lat,new_lon,new_province
16363.0,Appareil fixe-Vast apparaat,Rue d edimbourg,22.0,6040,Jumet,Hainaut,Je suis au rez-de-chaussée - réfectoire ,Non-Nee,Non-Nee,08:00h - 16:30h,"Rue d edimbourg, 6040 Jumet, Hainaut",50.4511799,4.4477766,51.09437,4.37346,Provincie Antwerpen
16364.0,Appareil fixe-Vast apparaat,Boulevard d avroy,83.0,4000,Liege,Liège,Sonnettes en façade-Demander ouverture des portes- L appareil( coffret mural) se trouve dans le hall à droite sur le mur au pied de l escalier,Non-Nee,Oui-Ja,,"Boulevard d avroy, 4000 Liege, Liège",50.6353953,5.5676214,51.098494,3.610383,Provincie Oost-Vlaanderen
16365.0,Appareil fixe-Vast apparaat,Begijnenvest,113.0,2000,Antwerpen,Antwerpen,Onthaal,Oui-Ja,Non-Nee,Enkel tijdens de kantooruren 08u00 - 19u00,"Begijnenvest, 2000 Antwerpen, Antwerpen",51.2106009,4.4052055,51.06422,4.361623333333333,Provincie Antwerpen
16366.0,Appareil fixe-Vast apparaat,Rue paul pastur ,1.0,6240,Farciennes,Hainaut,cafétéria,Oui-Ja,Oui-Ja,,"Rue paul pastur , 6240 Farciennes, Hainaut",50.4265287,4.541346,50.55783,3.89952,Provincie Henegouwen
16367.0,Appareil fixe-Vast apparaat,Rue adrienne bolland,,6041,Gosselies,Hainaut,"2ème étage, partie CellCarta",Non-Nee,,,"Rue adrienne bolland, 6041 Gosselies, Hainaut",50.4724383,4.4682992,50.44624,3.89686,Provincie Henegouwen
16368.0,Appareil fixe-Vast apparaat,Avenue louise,523.0,1050,Ixelles,Bruxelles-brussel,réception 4e étage,Non-Nee,Non-Nee,8h30-17h30,"Avenue louise, 1050 Ixelles, Bruxelles-brussel",50.824958,4.3659367,50.99902,5.529,Provincie Limburg
16369.0,Appareil fixe-Vast apparaat,Rue gatti de gamond,95.0,1180,Uccle,Bruxelles-brussel,"Rez-de-chaussée, dans l infirmerie au croisement des deux ailes principales, en position centrale facilement accessible en cas d urgence. Accessible en permanence de l ouverture à la fermeture de l école.",Non-Nee,Non-Nee,"07h30-21h30 du lundi au vendredi, de 08h00 à 18h le samedi. Fermé durant les congés scolaires ainsi que les dimanche et jours fériés.","Rue gatti de gamond, 1180 Uccle, Bruxelles-brussel",50.8016058,4.3274229,50.931253,3.154611,Provincie West-Vlaanderen
16370.0,Appareil fixe-Vast apparaat,Schietspoelstraat,9.0,9900,Eeklo,Oost-vlaanderen,Buitenkant inkom,Oui-Ja,,,"Schietspoelstraat, 9900 Eeklo, Oost-vlaanderen",51.1895172,3.5650328,50.715677,4.22324,Provincie Vlaams-Brabant
16371.0,Appareil fixe-Vast apparaat,Pastoor de nevestraat ,,9900,Eeklo,Oost-vlaanderen,Buitenkant inkom dienstencentrum,Oui-Ja,,,"Pastoor de nevestraat , 9900 Eeklo, Oost-vlaanderen",51.1870336,3.5629269,50.49307,4.8840900000000005,Provincie Namen
16372.0,Appareil fixe-Vast apparaat,Visstraat,14.0,9900,Eeklo,Oost-vlaanderen,Buitengevel ,Oui-Ja,,,"Visstraat, 9900 Eeklo, Oost-vlaanderen",51.1814086,3.5732096,50.628015000000005,5.56704,Provincie Luik
16373.0,Appareil fixe-Vast apparaat,Zuidmoerstraat,136.0,9900,Eeklo,Oost-vlaanderen,Buitengevel ,Oui-Ja,,,"Zuidmoerstraat, 9900 Eeklo, Oost-vlaanderen",51.1809123,3.5681969,51.21906,2.886535,Provincie West-Vlaanderen
16374.0,Appareil fixe-Vast apparaat,Balgerhoeke,,9900,Eeklo,Oost-vlaanderen,Buitenkast ,Oui-Ja,,,"Balgerhoeke, 9900 Eeklo, Oost-vlaanderen",51.20571,3.51609,50.41945333333333,4.4347900000000005,Provincie Henegouwen
16375.0,Appareil fixe-Vast apparaat,Balgerhoeke,166.0,9900,Eeklo,Oost-vlaanderen,Buitenkast ,Oui-Ja,,,"Balgerhoeke, 9900 Eeklo, Oost-vlaanderen",51.20571,3.51609,50.50695666666667,4.47886,Provincie Henegouwen
16376.0,Appareil fixe-Vast apparaat,Beverlosesteenweg,365.0,3583,Beringen-paal,Limburg,In de wachtruimte van de Huisartsenpraktijk,Non-Nee,Non-Nee,Tijdens de praktijkuren,"Beverlosesteenweg, 3583 Beringen-paal, Limburg",51.0411993,5.1734659,51.114571999999995,3.717036,Provincie Oost-Vlaanderen
16377.0,Appareil fixe-Vast apparaat,Gasthuisstraat,,2520,Ranst,Antwerpen,rechts naast de toegangspoort van GVBS Annuncia Instituut te Ranst,Oui-Ja,Oui-Ja,,"Gasthuisstraat, 2520 Ranst, Antwerpen",51.1899303,4.5598039,49.86028,5.37831,Provincie Luxemburg
16378.0,Appareil fixe-Vast apparaat,Christoffel columbuslaan,,9042,Gent,West-vlaanderen,Inkom PT4,Non-Nee,Non-Nee,Van maandag tot vrijdag: 8u - 17u,"Christoffel columbuslaan, 9042 Gent, West-vlaanderen",51.1664918,3.7704166,51.23623,4.40807,Provincie Antwerpen
16379.0,Appareil fixe-Vast apparaat,Christoffel columbuslaan,,9042,Rieme,West-vlaanderen,PT3 sturing droger,Non-Nee,Non-Nee,Van maandag tot vrijdag: 8u - 17u,"Christoffel columbuslaan, 9042 Rieme, West-vlaanderen",51.1664918,3.7704166,51.101413,3.82907,Provincie Oost-Vlaanderen
16380.0,Appareil fixe-Vast apparaat,Rue de la fusée ,96.0,1130,Bruxelles,Bruxelles-brussel, ,Oui-Ja,Non-Nee,,"Rue de la fusée , 1130 Bruxelles, Bruxelles-brussel",50.8811373,4.4344768,51.02073,5.30792,Provincie Limburg
16381.0,Appareil fixe-Vast apparaat,Rue belliard,,1040,Bruxelles,Bruxelles-brussel, ,Oui-Ja,Non-Nee,,"Rue belliard, 1040 Bruxelles, Bruxelles-brussel",50.8409653,4.3758252,50.935576,4.063361,Provincie Oost-Vlaanderen
16382.0,Appareil fixe-Vast apparaat,A.stocletlaan,3.0,2570,Duffel,Antwerpen,Refter Transformatie (D1),Non-Nee,Oui-Ja,,"A.stocletlaan, 2570 Duffel, Antwerpen",51.0874091,4.4808911,50.9403025,3.130489,Provincie West-Vlaanderen
16383.0,Appareil fixe-Vast apparaat,A.stocletlaan,23.0,2570,Duffel,Antwerpen,Extern Magazijn,Oui-Ja,Non-Nee,,"A.stocletlaan, 2570 Duffel, Antwerpen",51.0874091,4.4808911,50.64474,5.79155,Provincie Luik
16384.0,Appareil fixe-Vast apparaat,Kortekeer,1.0,9680,Maarkedal,West-vlaanderen,Ter hoogte van de voetbal kantine,Oui-Ja,Oui-Ja,,"Kortekeer, 9680 Maarkedal, West-vlaanderen",50.798327,3.583545,50.46083,4.23829,Provincie Henegouwen
16385.0,Appareil fixe-Vast apparaat,Rue de marbaix ,257.0,6110,Montigny le tilleul,Hainaut,sellerie,Oui-Ja,Oui-Ja,,"Rue de marbaix , 6110 Montigny le tilleul, Hainaut",50.36586,4.3739,50.22103,4.40916,Provincie Namen
13252.0,Appareil fixe-Vast apparaat,Hondstraat,100.0,8700,Tielt,West-vlaanderen,Gelijkvloers buiten kant speelplein,Oui-Ja,Oui-Ja,,"Hondstraat, 8700 Tielt, West-vlaanderen",51.0033498,3.3127436,50.70205,5.64088,Provincie Luik
16386.0,Appareil fixe-Vast apparaat,Rue defuisseaux ,124.0,7333,Saint-ghislain,Hainaut,COULOIR DU B3 ENTRE LE BUREAU TECHNIQUE ET LE REFECTOIRE,Non-Nee,Non-Nee,6h00 à 18h00,"Rue defuisseaux , 7333 Saint-ghislain, Hainaut",50.4635528,3.8100767,50.71179,6.11715,Provincie Luik
16387.0,Appareil fixe-Vast apparaat,Nijverheidsstraat,,2160,Wommelgem,Antwerpen,"Aan receptie winkel, net achter de ingang van de winkel, op het gelijkvloers",Oui-Ja,Non-Nee,"Maandag, dinsdag, woensdag, zaterdag van 07u00 -17u00; donderdag en vrijdag van 07u00 - 19u00; zondag gesloten","Nijverheidsstraat, 2160 Wommelgem, Antwerpen",51.21143,4.50788,50.989605,3.646364,Provincie Oost-Vlaanderen
16388.0,Appareil fixe-Vast apparaat,Villeroux,25.0,6640,Vaux-sur-sûre,Luxembourg,"Dans le bâtiment dans le couloir d entrée. Sur le mur à votre droite après avoir monté les escaliers extérieurs  
",Non-Nee,Non-Nee,7h30 - 15h35,"Villeroux, 6640 Vaux-sur-sûre, Luxembourg",49.97852,5.656499999999999,51.07702,4.42401,Provincie Antwerpen
16389.0,Appareil fixe-Vast apparaat,Aachener straße,30.0,4731,Eynatten,Liège,Rez-de-Chaussez,Non-Nee,Non-Nee,07:00-22:00,"Aachener straße, 4731 Eynatten, Liège",50.710016,6.0887862,50.922198,4.4113275000000005,Provincie Vlaams-Brabant
